,symbol,name,price,exchange
0,SPY,SPDR S&P 500,417.4,New York Stock Exchange Arca
1,CMCSA,Comcast Corp,54.1,Nasdaq Global Select
2,KMI,Kinder Morgan Inc,17.44,New York Stock Exchange
3,INTC,Intel Corp,57.62,Nasdaq Global Select
4,MU,Micron Technology Inc,86.03,Nasdaq Global Select
5,GDX,VanEck Vectors Gold Miners,35.45,New York Stock Exchange Arca
6,GE,General Electric Co,13.2,New York Stock Exchange
7,BAC,Bank of America Corp,40.03,New York Stock Exchange
8,EEM,iShares MSCI Emerging Index Fund,55.08,New York Stock Exchange Arca
9,XLF,SPDR Select Sector Fund - Financial,35.94,New York Stock Exchange Arca
10,AAPL,Apple Inc,133.58,Nasdaq Global Select
11,MSFT,Microsoft Corp,254.56,Nasdaq Global Select
12,SIRI,Sirius XM Holdings Inc,6.065,Nasdaq Global Select
13,HPQ,HP Inc,34.32,New York Stock Exchange
14,CX,Cemex S.A.B. de C.V. Sponsored ADR,7.64,New York Stock Exchange
15,EFA,iShares MSCI EAFE,79.07,New York Stock Exchange Arca
16,CZR,Caesars Entertainment Inc,102.6,Nasdaq Global Select
17,QQQ,PowerShares QQQ Trust Series 1,339.0,Nasdaq Global Market
18,F,Ford Motor Co,12.43,New York Stock Exchange
19,AMD,Advanced Micro Devices Inc,84.02,Nasdaq Capital Market
20,SNAP,Snap Inc,62.04,New York Stock Exchange
21,FB,Facebook Inc,307.1,Nasdaq Global Select
22,WFC,Wells Fargo & Co,45.08,New York Stock Exchange
23,AIG,American International Group Inc,48.21,New York Stock Exchange
24,T,AT&T Inc,30.96,New York Stock Exchange
25,C,Citigroup Inc,72.91,New York Stock Exchange
26,VALE,VALE S.A. American Depositary Shares Each Representing one,20.96,New York Stock Exchange
27,MS,Morgan Stanley,82.73,New York Stock Exchange
28,JPM,JPMorgan Chase & Co,152.23,New York Stock Exchange
29,ORCL,Oracle Corp,74.77,New York Stock Exchange
30,NKE,Nike Inc,130.71,New York Stock Exchange
31,VWO,Vanguard FTSE Emerging Markets,53.89,New York Stock Exchange Arca
32,PG,Procter & Gamble Co,131.4,New York Stock Exchange
33,FXI,iShares China Large-Cap,47.28,New York Stock Exchange Arca
34,IWM,iShares Russell 2000,228.84,New York Stock Exchange Arca
35,GSM,Ferroglobe PLC,4.35,Nasdaq Global Select
36,BBD,Banco Bradesco Sa American Depositary Shares,4.55,New York Stock Exchange
37,PFE,Pfizer Inc,38.81,New York Stock Exchange
38,JD,JD.com Inc.,79.06,Nasdaq Global Select
39,NOK,Nokia Corporation Sponsored American Depositary Shares,4.2,New York Stock Exchange
40,TWTR,Twitter Inc,65.7,New York Stock Exchange
41,AMLP,Alerian MLP,33.24,New York Stock Exchange Arca
42,AVGO,Broadcom Inc,459.2,Nasdaq Global Select
43,AMAT,Applied Materials Inc,135.69,Nasdaq Global Select
44,UVXY,ProShares Trust Ultra VIX Short Term Futures,4.42,New York Stock Exchange Arca
45,VXX,iPath S&P 500 VIX Short Term Futures TM ETN,38.87,New York Stock Exchange Arca
46,VEA,Vanguard FTSE Developed Markets,51.26,New York Stock Exchange Arca
47,ZNGA,Zynga Inc,11.06,Nasdaq Global Select
48,XOM,Exxon Mobil Corp,58.11,New York Stock Exchange
49,QCOM,Qualcomm Inc,136.57,Nasdaq Global Select
50,VIPS,Vipshop Holdings Ltd,32.12,New York Stock Exchange
51,GLD,SPDR Gold Trust,166.91,New York Stock Exchange Arca
52,CSCO,Cisco Systems Inc,51.11,Nasdaq Global Select
53,AXP,American Express Co,152.54,New York Stock Exchange
54,BMY,Bristol-Myers Squibb Co,66.03,New York Stock Exchange
55,V,Visa Inc,233.45,New York Stock Exchange
56,USO,United States Oil Fund,43.53,New York Stock Exchange Arca
57,GRPN,Groupon Inc,50.47,Nasdaq Global Select
58,OIH,VanEck Vectors Oil Services,189.04,New York Stock Exchange Arca
59,GERN,Geron Corp,1.52,Nasdaq Global Select
60,KEY,KeyCorp,21.55,New York Stock Exchange
61,RF,Regions Financial Corp,21.41,New York Stock Exchange
62,KR,Kroger Co,36.65,New York Stock Exchange
63,HAL,Halliburton Co,20.14,New York Stock Exchange
64,BABA,Alibaba Group Holding Ltd,236.72,New York Stock Exchange
65,MRO,Marathon Oil Corp,11.75,New York Stock Exchange
66,GILD,Gilead Sciences Inc,64.44,Nasdaq Global Select
67,IEMG,iShares Core MSCI Emerging Markets,66.75,New York Stock Exchange Arca
68,GM,General Motors Co,58.55,New York Stock Exchange
69,FCX,Freeport-McMoRan Inc,39.35,New York Stock Exchange
70,CRM,Salesforce.Com Inc,236.88,New York Stock Exchange
71,ATVI,Activision Blizzard Inc,91.25,Nasdaq Global Select
72,SQ,Square Inc,254.2,New York Stock Exchange
73,XLK,SPDR Select Sector Fund - Technology,141.75,New York Stock Exchange Arca
74,NUE,Nucor Corp,81.58,New York Stock Exchange
75,XOP,SPDR S&P Oil & Gas Explor & Product,82.65,New York Stock Exchange Arca
76,SWN,Southwestern Energy Co,4.45,New York Stock Exchange
77,LOW,Lowe`s Companies Inc,196.06,New York Stock Exchange
78,RAD,Rite Aid Corp,17.83,New York Stock Exchange
79,VEON,VEON Ltd.,1.74,Nasdaq Global Select
80,HYG,iShares iBoxx $ High Yield Corporate Bond,87.38,New York Stock Exchange Arca
81,JNK,SPDR Bloomberg Barclays High Yield Bond,109.15,New York Stock Exchange Arca
82,EWJ,iShares MSCI Japan Index Fund,67.98,New York Stock Exchange Arca
83,XLU,SPDR Select Sector Fund - Utilities,65.6,New York Stock Exchange Arca
84,SLB,Schlumberger NV,27.36,New York Stock Exchange
85,FLEX,Flex Ltd,18.22,Nasdaq Global Select
86,FOXA,Fox Corp,37.82,Nasdaq Global Select
87,ABBV,Abbvie Inc,111.93,New York Stock Exchange
88,GIS,General Mills Inc,60.8,New York Stock Exchange
89,VZ,Verizon Communications Inc,56.43,New York Stock Exchange
90,XRX,Xerox Holdings Corp,24.52,New York Stock Exchange
91,CVLT,Commvault Systems Inc,69.75,Nasdaq Global Select
92,IEFA,iShares Core MSCI EAFE,75.28,BATS Exchange
93,X,United States Steel Corp,23.27,New York Stock Exchange
94,MAT,Mattel Inc,21.99,Nasdaq Global Select
95,MIK,Michaels Companies Inc,21.97,Nasdaq Global Select
96,DVN,Devon Energy Corp,24.03,New York Stock Exchange
97,BKLN,PowerShares Exchange-Traded Fund Trust,22.14,New York Stock Exchange Arca
98,IBN,ICICI Bank Limited,16.77,New York Stock Exchange
99,MPC,Marathon Petroleum Corp,55.44,New York Stock Exchange
100,EZU,iShares MSCI Eurozone,49.4,BATS Exchange
101,PM,Philip Morris International Inc,94.15,New York Stock Exchange
102,MSCI,MSCI Inc,484.03,New York Stock Exchange
103,RDN,Radian Group Inc,24.92,New York Stock Exchange
104,KO,Coca-Cola Co,53.59,New York Stock Exchange
105,SRC,Spirit Realty Capital Inc,46.01,New York Stock Exchange
106,COP,ConocoPhillips,53.04,New York Stock Exchange
107,CHK,Chesapeake Energy Corporation,46.18,New York Stock Exchange
